Sale Date,Sale ID,Product ID,Product Name,Product Category,Quantity Sold,Unit Price,Discount (%),Total Value (with Discount),Unit Cost,Total Cost,Gross Profit,Payment Method,Payment Status,Payment Date,Customer ID,Customer Name,Sales Channel,Sales Region,Sales Representative,Customer Rating,Shipping Cost,Delivery Status,Delivery Date
2025-01-29,9fc1e64b-a0ee-40f6-8436-4014b46f1705,PRD16834,Bananas,Household Essentials,3,295.14,10,796.88,213.13,639.39,157.49,Bank Transfer,Paid,2025-02-02,CUS7727,Brenda Moore,Marketplace,New York,Robert Nguyen,1 star,29.31,Canceled,
2025-01-29,ff8bb582-f00c-4538-a4da-19e4b81dc337,PRD51067,Orange Juice,Household Essentials,10,211.33,20,1690.64,121.15,1211.5,479.14,Pix,Pending,,CUS8302,Mitchell Lang,Physical Store,Texas,Holly May,4 stars,15.68,In Transit,
2025-01-29,945bf55a-854b-4446-88aa-f930fc9b132c,PRD49752,Chocolate Bar,Household Essentials,2,306.39,20,490.22,172.52,345.04,145.18,Invoice,Paid,2025-01-31,CUS5754,Jason Garrett,Online Store,Florida,Patrick Johnson,2 stars,28.35,Canceled,
2025-01-29,6a61d632-76c3-4688-bb32-d0d7686d9889,PRD75604,Chocolate Bar,Beverages,8,195.28,0,1562.24,111.43,891.44,670.8,Credit Card,Canceled,,CUS6749,Michelle Hicks,Marketplace,California,Dawn Medina,5 stars,39.1,In Transit,
2025-01-29,63dfc919-4bb3-49a1-ae19-557718818704,PRD32651,Trash Bags,Fresh Produce,7,298.81,15,1777.92,185.82,1300.74,477.18,Invoice,Pending,,CUS8675,Kristen Ward,Physical Store,Illinois,Holly May,2 stars,38.64,Canceled,
2025-01-29,8553d748-3bda-477b-a39b-12463fee6760,PRD82953,Trash Bags,Snacks,10,429.74,10,3867.66,339.43,3394.3,473.36,Invoice,Canceled,,CUS5694,Tony Ortiz,Online Store,Texas,Harry Carr,4 stars,49.82,Delivered,2025-02-01
2025-01-29,23c1ee99-0ede-4c19-b80e-cb7df22cee11,PRD28783,Potato Chips,Beverages,7,364.26,10,2294.84,215.27,1506.89,787.95,Pix,Pending,,CUS5375,Lauren Stout,Online Store,Texas,Mary Vance,3 stars,40.95,Canceled,
2025-01-29,99c63066-8a4f-4c82-a569-063415512977,PRD86737,Trash Bags,Dairy Products,7,415.95,5,2766.07,257.3,1801.1,964.97,Invoice,Canceled,,CUS8812,Aaron Harris,Physical Store,Florida,Derrick Hernandez,4 stars,22.09,Delivered,2025-02-08
2025-01-29,3931e314-3317-4584-b9b7-17fd843f0110,PRD70918,Dish Soap,Dairy Products,6,185.09,10,999.49,109.48,656.88,342.61,Bank Transfer,Paid,2025-02-01,CUS6375,Jonathan Davis,Physical Store,Illinois,Thomas Houston,1 star,13.02,Canceled,
2025-01-29,ab4cd989-8c70-46d5-ba35-93bbd45ce92f,PRD51630,Orange Juice,Dairy Products,7,379.71,5,2525.07,235.69,1649.83,875.24,Credit Card,Paid,2025-01-29,CUS6763,Raymond Woods,Marketplace,Florida,Yolanda Martin,4 stars,33.97,Canceled,
2025-01-29,febf9cae-03fe-46d2-a37e-6384527afafd,PRD85954,Laundry Detergent,Snacks,9,480.51,20,3459.67,369.02,3321.18,138.49,Pix,Paid,2025-01-31,CUS9396,Carrie Taylor,Online Store,Florida,Thomas Houston,3 stars,42.3,In Transit,
2025-01-29,8464c6c5-2ca1-4df7-94d2-5a2fff70e457,PRD93962,Soda,Beverages,1,406.77,0,406.77,224.16,224.16,182.61,Bank Transfer,Pending,,CUS2422,Michael Guerra,Online Store,California,Garrett Bell,3 stars,14.2,Canceled,
2025-01-29,31f500f8-540f-46fb-aa70-8fb83ccc3e73,PRD93789,Carrots,Fresh Produce,6,297.52,10,1606.61,183.34,1100.04,506.57,Pix,Pending,,CUS8631,Kathy Daniels,Online Store,California,Mary Vance,4 stars,38.31,In Transit,
2025-01-29,33378c01-0917-4d29-8a73-faa791adc3ab,PRD95385,Laundry Detergent,Fresh Produce,1,132.64,20,106.11,66.96,66.96,39.15,Bank Transfer,Canceled,,CUS8363,Tony Malone,Online Store,Illinois,Thomas Houston,1 star,24.9,Canceled,
2025-01-29,7dc5aba7-24ca-4aa1-86c1-94e02b0d0166,PRD69107,Spinach,Household Essentials,7,479.04,0,3353.28,247.55,1732.85,1620.43,Invoice,Pending,,CUS8614,Abigail Esparza,Marketplace,Texas,Shelley Morgan,4 stars,11.38,Canceled,
2025-01-29,d61140f7-389b-4676-82fa-8fe5240eac0a,PRD93485,Butter,Snacks,5,86.96,0,434.8,54.92,274.6,160.2,Invoice,Canceled,,CUS9802,Dana Alvarado,Online Store,Illinois,Amber Rogers,2 stars,23.35,In Transit,
2025-01-29,a8129c3a-ff11-4027-bdf7-0df369281bd2,PRD98565,Potato Chips,Household Essentials,2,291.34,10,524.41,146.93,293.86,230.55,Pix,Canceled,,CUS3283,Andrea Robinson,Marketplace,New York,Patrick Johnson,4 stars,39.78,In Transit,
2025-01-29,4ef4bbc9-3a57-44d4-9cd8-577e8621169b,PRD57322,Yogurt,Household Essentials,9,210.75,5,1801.91,126.06,1134.54,667.37,Credit Card,Pending,,CUS1249,Mark Allen,Physical Store,Florida,Robert Nguyen,4 stars,20.12,Delivered,2025-02-05
2025-01-29,ac13d14c-b0c1-4058-9b69-02fb9e5d2f40,PRD65402,Nuts,Beverages,3,141.71,10,382.62,101.16,303.48,79.14,Pix,Paid,2025-02-02,CUS7384,Luis Diaz,Online Store,Florida,Stacy Fuentes,2 stars,40.18,In Transit,
2025-01-29,44240e93-cbc4-45b7-b5cd-0847b00ea323,PRD22087,Potato Chips,Snacks,9,348.08,0,3132.72,261.87,2356.83,775.89,Pix,Canceled,,CUS3037,Barbara Johns,Physical Store,Florida,Amber Lee MD,1 star,8.09,Canceled,
2025-01-29,85345b2d-eb2b-4c25-a985-bfcadc8a56f3,PRD99881,Chocolate Bar,Household Essentials,8,119.31,10,859.03,69.57,556.56,302.47,Credit Card,Canceled,,CUS9972,Christopher Martin MD,Physical Store,New York,Derrick Hernandez,5 stars,44.43,Delivered,2025-01-31
2025-01-29,b4e77336-4bc3-4307-b0b3-0b986a47f8b1,PRD64625,Laundry Detergent,Fresh Produce,7,471.48,15,2805.31,262.33,1836.31,969.0,Invoice,Paid,2025-02-01,CUS5322,Vickie Peters,Marketplace,Florida,Jason Davies,2 stars,31.59,In Transit,
2025-01-29,dab96145-2d80-4c05-890e-166129942625,PRD69209,Nuts,Fresh Produce,5,328.14,5,1558.66,195.41,977.05,581.61,Pix,Pending,,CUS6172,Sarah Johnson,Online Store,New York,Lance Daugherty,3 stars,41.87,Canceled,
2025-01-29,7bb93b95-a84c-4ce5-965a-5059c9ee075b,PRD37745,Potato Chips,Dairy Products,4,296.6,15,1008.44,217.01,868.04,140.4,Invoice,Canceled,,CUS9715,Jordan Lee,Online Store,Florida,Harry Carr,1 star,5.66,Delivered,2025-02-02
2025-01-29,fcc03f80-a2ad-4190-b6d4-ec0f72496867,PRD77889,Dish Soap,Dairy Products,4,417.48,15,1419.43,310.49,1241.96,177.47,Invoice,Paid,2025-01-29,CUS5337,Carmen Pugh,Physical Store,Florida,Robert Nguyen,1 star,36.2,In Transit,
2025-01-29,b5239297-b477-431c-b14f-687beea8c893,PRD90970,Spinach,Dairy Products,7,148.53,20,831.77,93.33,653.31,178.46,Bank Transfer,Paid,2025-01-31,CUS5401,Lisa Maldonado,Marketplace,Illinois,Lance Daugherty,2 stars,23.44,Delivered,2025-01-31
2025-01-29,df8afaef-df63-40d0-82d1-74d90091212b,PRD39215,Paper Towels,Beverages,8,154.63,10,1113.34,87.0,696.0,417.34,Bank Transfer,Pending,,CUS3734,Brittany Hobbs,Marketplace,Texas,Jennifer Kirby,2 stars,29.39,Delivered,2025-02-07
2025-01-29,ab7a45be-2204-460b-acb8-1c3a3a93fd14,PRD29506,Chocolate Bar,Snacks,5,300.43,0,1502.15,193.55,967.75,534.4,Bank Transfer,Canceled,,CUS6325,Gregory Costa,Marketplace,New York,Amber Rogers,5 stars,40.61,In Transit,
2025-01-29,9af6ecca-8ea6-4a0c-85e3-78425ef9293e,PRD65409,Cheese,Snacks,5,282.12,0,1410.6,188.58,942.9,467.7,Invoice,Canceled,,CUS1373,Matthew Smith,Online Store,Illinois,Garrett Bell,1 star,49.29,In Transit,
2025-01-29,e04c3e2c-a24d-4aa4-ab75-dcbf4354409f,PRD23285,Laundry Detergent,Fresh Produce,9,370.22,10,2998.78,254.28,2288.52,710.26,Bank Transfer,Pending,,CUS6216,Robert Allen,Online Store,Illinois,Frederick Taylor,4 stars,44.2,In Transit,
2025-01-29,5dd7133c-fa51-4caf-815f-5e18bab167d2,PRD38434,Potato Chips,Household Essentials,5,125.38,10,564.21,98.35,491.75,72.46,Credit Card,Canceled,,CUS8126,Angela Rodriguez,Physical Store,Texas,Holly May,3 stars,12.96,Delivered,2025-02-03
2025-01-29,1200f1fb-adb3-4bac-80fc-bc17c014ce1e,PRD28593,Orange Juice,Snacks,2,198.92,20,318.27,121.5,243.0,75.27,Invoice,Paid,2025-02-02,CUS7456,Timothy Valentine,Marketplace,Florida,Olivia Livingston,2 stars,32.8,Canceled,
2025-01-29,b3ecf6d7-b14e-4dc7-935f-60a2a361c876,PRD71124,Cheese,Beverages,9,74.87,20,539.06,57.3,515.7,23.36,Pix,Pending,,CUS5719,Christina Parrish,Online Store,Florida,Robert Nguyen,5 stars,33.19,Delivered,2025-02-06
2025-01-29,5043667e-3da6-4db9-accc-7afeabd8d79f,PRD73896,Cheese,Fresh Produce,4,205.52,5,780.98,110.23,440.92,340.06,Pix,Pending,,CUS8396,Jordan Hicks,Online Store,Illinois,Heather Green,1 star,5.98,Canceled,
2025-01-29,12523872-9c95-48e7-816c-34346fe9c988,PRD70045,Milk,Snacks,9,352.7,5,3015.58,203.36,1830.24,1185.34,Invoice,Pending,,CUS6510,Denise Schmitt,Online Store,New York,Heather Green,3 stars,5.51,In Transit,
2025-01-29,d7bd0ab5-4c84-43e3-8b46-a585434a9af9,PRD39446,Mineral Water,Household Essentials,7,125.41,20,702.3,100.28,701.96,0.34,Invoice,Paid,2025-02-03,CUS2757,Patrick Yu,Online Store,Texas,Chad Beck,4 stars,46.77,Canceled,
2025-01-29,c9709b04-6754-48bf-98b0-3cb3d9f3bc1a,PRD70099,Crackers,Fresh Produce,4,491.37,5,1867.21,348.97,1395.88,471.33,Credit Card,Pending,,CUS4617,John Christensen,Marketplace,Texas,Yolanda Martin,4 stars,18.1,Delivered,2025-02-01
2025-01-29,d1b6aa5d-9438-401c-a79e-38c9348b3f6e,PRD22574,Spinach,Snacks,10,272.9,0,2729.0,216.07,2160.7,568.3,Invoice,Canceled,,CUS7095,Kristina Johnston,Marketplace,New York,Patrick Johnson,1 star,6.93,Canceled,
2025-01-29,50547153-f8e6-4695-8410-660c4ecaaa13,PRD95770,Trash Bags,Household Essentials,1,99.99,20,79.99,54.93,54.93,25.06,Pix,Paid,2025-02-02,CUS2190,Matthew Reynolds,Physical Store,California,William Hunt,2 stars,8.79,Delivered,2025-02-05
2025-01-29,66b21603-bb9b-4a66-9ade-113794563d25,PRD86729,Apples,Fresh Produce,2,267.98,10,482.36,186.69,373.38,108.98,Pix,Paid,2025-01-30,CUS3323,Patrick Miller,Marketplace,Illinois,Jason Davies,5 stars,36.62,Canceled,
2025-01-29,3f5fb35d-1b6d-41bb-930e-c613cca106f1,PRD29402,Paper Towels,Fresh Produce,4,366.87,5,1394.11,236.84,947.36,446.75,Pix,Pending,,CUS1045,David Johnson,Marketplace,California,Yolanda Martin,5 stars,33.29,Delivered,2025-02-06
2025-01-29,e637bef4-a132-4fe1-85d6-beda6a9091f5,PRD97229,Chocolate Bar,Household Essentials,10,98.18,20,785.44,66.93,669.3,116.14,Bank Transfer,Pending,,CUS2132,Angelica Hughes,Marketplace,Illinois,Jennifer Kirby,1 star,19.08,Canceled,
2025-01-29,f578d0e3-07dc-432a-b502-801253d95ddd,PRD63477,Milk,Household Essentials,4,313.13,10,1127.27,180.65,722.6,404.67,Invoice,Canceled,,CUS8035,Joshua Black,Physical Store,Florida,Thomas Houston,1 star,27.93,In Transit,
2025-01-29,8b74b342-f208-4075-84ba-1d3d8aad841c,PRD81891,Butter,Household Essentials,8,177.17,0,1417.36,105.4,843.2,574.16,Pix,Paid,2025-02-01,CUS8597,Elizabeth Smith MD,Online Store,California,Walter Spears,5 stars,44.07,In Transit,
2025-01-29,ff9d37a9-8d6d-4214-ba46-2290c5ad9f61,PRD91352,Paper Towels,Fresh Produce,2,374.14,15,636.04,297.46,594.92,41.12,Invoice,Paid,2025-02-02,CUS7491,Emily Gomez,Online Store,Texas,Olivia Livingston,5 stars,40.73,Canceled,
2025-01-29,6d0de47a-293b-467d-aa16-734a06643822,PRD99862,Potato Chips,Dairy Products,3,295.91,15,754.57,222.51,667.53,87.04,Invoice,Pending,,CUS9056,Cynthia Jimenez,Marketplace,Texas,Olivia Livingston,3 stars,23.63,Delivered,2025-01-31
2025-01-29,f8f83302-9033-4d4b-b2e5-ec1ed0b60d58,PRD33275,Crackers,Snacks,8,448.29,20,2869.06,351.82,2814.56,54.5,Pix,Paid,2025-02-01,CUS4823,Nathan Escobar,Physical Store,New York,Mary Vance,1 star,16.64,In Transit,
2025-01-29,0f326087-0d53-40b6-afda-0fdd3dfc6849,PRD49648,Potato Chips,Fresh Produce,4,484.04,10,1742.54,346.39,1385.56,356.98,Invoice,Canceled,,CUS4275,Christopher Alvarado,Marketplace,California,Heather Green,4 stars,36.05,Delivered,2025-02-08
2025-01-29,3ecc682d-fe8a-49e6-ac40-262794d6b0ae,PRD96776,Butter,Dairy Products,4,52.57,15,178.74,26.9,107.6,71.14,Invoice,Pending,,CUS1089,Isabel Burns,Marketplace,New York,Harry Carr,2 stars,23.42,Delivered,2025-02-02
2025-01-29,21b7fd5c-65ee-40d9-8717-255704d5fd66,PRD98456,Crackers,Snacks,9,258.44,10,2093.36,193.45,1741.05,352.31,Pix,Canceled,,CUS6777,Jenna Phillips,Physical Store,California,Frederick Taylor,3 stars,46.27,In Transit,
2025-01-29,a074d999-8d2f-4d55-b3df-4f423531f0f8,PRD43919,Chocolate Bar,Fresh Produce,1,336.33,20,269.06,228.66,228.66,40.4,Credit Card,Paid,2025-01-31,CUS6659,Kenneth Coleman,Online Store,Texas,Holly May,5 stars,47.84,Canceled,
2025-01-29,2f2f98b2-ab00-49ba-b6a0-f0d975f29016,PRD47275,Trash Bags,Dairy Products,1,222.99,5,211.84,130.21,130.21,81.63,Invoice,Pending,,CUS8272,Kim Morgan,Online Store,California,Holly May,5 stars,46.14,In Transit,
